Unnamed: 0,event_id,datetime,dm,RA,Dec,is_in_DESI
3292,47339215,2019-08-09 15:45:48.194245 UTC+0000,1206.6528320312,74.2974528186,50.4531953235,False
3293,47313912,2019-08-09 12:50:49.264130 UTC+0000,352.6143493652,29.4621104975,65.7301343533,False
3294,47278693,2019-08-09 06:37:52.678502 UTC+0000,833.0109863281,296.079364167,39.142476041,False
3295,47096386,2019-08-08 13:11:47.996713 UTC+0000,792.5735473633,35.5021060087,56.2269129728,False
3296,46961101,2019-08-07 12:54:55.167654 UTC+0000,1481.6273193359,29.4918104805,66.5242285759,False
3297,46943506,2019-08-07 09:08:11.529833 UTC+0000,394.6692810059,332.7926231928,13.6469599718,True
3298,46858846,2019-08-06 14:40:38.230305 UTC+0000,849.1859741211,54.6778080386,19.2156943641,False
3299,46818256,2019-08-06 07:33:05.872284 UTC+0000,1507.5073242188,312.308156829,83.3958958195,False
3300,46802190,2019-08-06 06:37:09.569251 UTC+0000,1384.5775146484,294.9277566776,59.3987944314,True
3301,46768327,2019-08-05 17:43:59.424064 UTC+0000,773.1636352539,100.0075948579,43.9078677346,True
3302,46707700,2019-08-05 09:21:08.086213 UTC+0000,452.8991699219,333.2079740552,-8.5103516474,True
3303,46662865,2019-08-05 03:11:00.032965 UTC+0000,320.2644348145,241.6032100486,75.4613491314,True
3304,46662572,2019-08-05 02:38:39.118789 UTC+0000,1180.7728271484,232.5581981405,56.7680253128,True
3305,46657666,2019-08-05 01:36:35.835128 UTC+0000,262.0345153809,216.3325202458,74.6294345127,True
3306,46643744,2019-08-04 23:33:00.520611 UTC+0000,716.5512084961,185.4340367809,70.855701433,True
3307,46531897,2019-08-04 16:51:14.633935 UTC+0000,650.2338256836,84.9176056501,59.8296049627,False
3308,46491037,2019-08-04 13:08:59.814297 UTC+0000,415.6967468262,25.0558842756,80.1364565265,False
3309,46439431,2019-08-04 04:36:41.458977 UTC+0000,360.7018432617,261.2223449705,55.1466483629,True
3310,46236367,2019-07-29 03:22:10.185047 UTC+0000,617.8839111328,236.0966677854,45.0973878115,True
3311,46226338,2019-07-29 00:31:21.072921 UTC+0000,739.1961669922,194.3730345192,45.5479412001,True
3312,46156442,2019-07-28 15:57:04.564052 UTC+0000,383.3468017578,65.3425928022,39.5369608622,False
3313,45920865,2019-07-27 11:15:14.137943 UTC+0000,596.8564453125,354.1150261726,45.6250685111,False
3314,45855860,2019-07-27 01:55:14.868833 UTC+0000,729.4912109375,212.9130578081,43.1939130729,True
3315,45836018,2019-07-26 20:36:27.584302 UTC+0000,286.2969970703,132.6495171109,8.888954448,True
3316,45731138,2019-07-26 09:55:04.761213 UTC+0000,72.7873687744,331.7793322167,29.4558339408,True
3317,45678257,2019-07-26 00:08:34.445798 UTC+0000,21.0274620056,185.1015862999,47.1014003819,True
3318,45667042,2019-07-25 22:51:17.579811 UTC+0000,363.9368286133,166.2839129274,40.4705747061,True
3319,45612694,2019-07-24 12:06:51.563755 UTC+0000,389.8168029785,4.0044802726,19.2322317333,True
3320,45560925,2019-07-23 21:05:44.253655 UTC+0000,365.5543518066,138.1549701531,57.1656251235,True
3321,45387132,2019-07-22 18:30:25.664581 UTC+0000,249.094543457,98.6922190685,64.231016727,True
3322,45371331,2019-07-22 16:52:09.988352 UTC+0000,509.5115661621,38.6721469023,89.1150479793,False
3323,45215217,2019-07-21 18:46:45.732853 UTC+0000,286.2969970703,98.7211114606,66.6459680302,True
3324,45159789,2019-07-21 11:19:21.049546 UTC+0000,540.2440185547,349.3511913702,26.2840928764,True
3325,45159787,2019-07-21 11:19:20.970905 UTC+0000,541.8615112305,347.994530671,26.1073603819,True
3326,45146889,2019-07-21 08:41:02.712596 UTC+0000,669.6437988281,308.3790625911,-7.7711298933,True
3327,44961057,2019-07-20 12:21:31.679467 UTC+0000,431.8717346191,3.4864310294,49.5980093393,False
3328,44957106,2019-07-20 11:19:48.088064 UTC+0000,687.4362792969,348.9963884233,62.90561343,False
3329,44413128,2019-07-16 09:24:16.825774 UTC+0000,480.3966369629,315.1650098017,25.2916697324,False
3330,44390343,2019-07-16 06:26:37.038860 UTC+0000,255.5645446777,266.5834584326,79.7898022148,True
3331,44387866,2019-07-16 05:23:23.275161 UTC+0000,331.5869140625,263.8770096488,89.3398690326,False
3332,44381401,2019-07-16 04:19:25.864491 UTC+0000,651.8513183594,238.1891254969,50.9274318772,True
3333,44292143,2019-07-15 13:57:53.012800 UTC+0000,1200.1828613281,23.2763608048,44.5635789825,False
3334,44290216,2019-07-15 13:37:49.378624 UTC+0000,182.7771759033,17.6864739542,10.2198365675,True
3335,44216547,2019-07-15 01:57:47.791383 UTC+0000,892.8583984375,203.1263314131,60.3359823426,True
3336,44200244,2019-07-14 23:12:11.978037 UTC+0000,1407.2224121094,161.233563856,40.8600492523,True
3337,44183663,2019-07-14 21:16:51.753925 UTC+0000,1064.3131103516,131.2865502391,29.2046565848,True
3338,44091985,2019-07-14 08:25:47.532229 UTC+0000,1983.0513916016,298.1009315073,23.6037271093,False
3339,44051796,2019-07-13 23:12:40.652331 UTC+0000,415.6967468262,159.8208751999,26.3227495927,True
3340,43918161,2019-07-13 02:20:05.498450 UTC+0000,334.8218994141,24.1709643091,73.5334381069,False
3341,43898045,2019-07-12 23:41:59.241095 UTC+0000,370.406829834,165.807782335,6.3177875777,True
3342,43839471,2019-07-12 17:32:53.740649 UTC+0000,640.5288696289,70.8129049204,71.1216413478,False
3343,43822123,2019-07-12 16:35:14.588039 UTC+0000,680.9662475586,58.8010987958,9.2626845312,False
3344,43456869,2019-07-10 22:09:25.190638 UTC+0000,205.4221343994,141.7237155564,63.0987597977,True
3345,43412975,2019-07-10 17:19:38.500323 UTC+0000,761.8411254883,69.0776791644,60.192056993,False
3346,43397967,2019-07-10 15:44:45.550530 UTC+0000,260.4170227051,44.3327819697,73.6167390035,False
3347,43354078,2019-07-08 21:54:36.575856 UTC+0000,849.1859741211,136.3204692456,69.5822699419,True
3348,43280492,2019-07-02 06:45:02.691154 UTC+0000,1557.6496582031,285.7896670479,88.7214386221,False
3349,43253151,2019-07-01 22:32:03.599513 UTC+0000,888.0059204102,138.5821633245,61.8822691587,True
3350,43246206,2019-07-01 20:54:07.898652 UTC+0000,934.9133300781,112.0414147997,66.6852503944,True
3351,43244763,2019-07-01 19:37:14.861557 UTC+0000,972.1157226562,96.1368451666,81.6363855396,False
3352,43168950,2019-07-01 09:50:43.476592 UTC+0000,748.9011230469,302.6524135613,80.1759965105,False
3353,43153989,2019-07-01 07:52:12.432619 UTC+0000,635.6763305664,277.4420836125,59.0422922131,True
3354,43123299,2019-06-30 22:59:53.982064 UTC+0000,321.8819274902,143.4067957119,8.8991894422,True
3355,43106849,2019-06-30 18:59:03.828838 UTC+0000,56.6123962402,268.0263636533,78.6763192737,True
3356,43098433,2019-06-30 17:50:14.132848 UTC+0000,1659.5520019531,68.2756282792,81.1192805784,False
3357,43066128,2019-06-30 14:17:29.806715 UTC+0000,420.5492553711,12.8359435465,49.2142378487,False
3358,43054366,2019-06-30 11:19:16.848097 UTC+0000,653.4688110352,328.2281768766,43.0134300253,False
3359,42975158,2019-06-29 17:26:55.448791 UTC+0000,841.0985107422,59.2564993835,49.2648169896,False
3360,42964441,2019-06-29 13:53:48.583513 UTC+0000,503.041595459,6.4008763946,12.6679743242,True
3361,42842438,2019-06-28 14:22:31.680645 UTC+0000,1740.4268798828,11.5242092474,48.4447827828,False
3362,42809769,2019-06-28 05:56:50.646499 UTC+0000,405.9917602539,248.4495360119,80.2985539293,True
3363,42800571,2019-06-28 02:51:49.812789 UTC+0000,745.6661376953,199.0521413819,51.7530781937,True
3364,42637411,2019-06-27 09:21:51.704752 UTC+0000,1999.2264404297,295.33504174,43.8413686226,False
3365,42630260,2019-06-27 07:23:22.060628 UTC+0000,968.8807373047,267.7126699303,71.5841235538,True
3366,42625856,2019-06-27 06:46:25.454850 UTC+0000,428.63671875,256.4073539537,40.7868828472,True
3367,42608900,2019-06-27 02:46:47.464624 UTC+0000,402.7567749023,195.9373202615,0.7457535226,True
3368,42450024,2019-06-25 21:27:17.462090 UTC+0000,716.5512084961,115.0678842732,4.8598980076,True
3369,42440661,2019-06-25 18:36:27.862374 UTC+0000,441.5766906738,73.2599481859,11.3228474708,False
3370,42370300,2019-06-25 05:02:46.399746 UTC+0000,304.0894470215,229.4347410606,32.8832601618,True
3371,42370298,2019-06-25 05:02:46.211003 UTC+0000,297.6194763184,227.9548832476,32.8789599749,True
3372,42295086,2019-06-24 22:11:06.410877 UTC+0000,215.1271057129,304.6149179284,73.5908830049,False
3373,42186702,2019-06-24 01:09:39.474816 UTC+0000,973.733215332,168.2491804521,69.6187164576,True
3374,42095127,2019-06-23 15:08:04.558126 UTC+0000,1049.7556152344,193.0132581974,86.0321612347,False
3375,42083844,2019-06-23 12:16:58.160225 UTC+0000,1554.4146728516,335.2199802061,46.115424717,False
3376,42059187,2019-06-23 07:56:31.630556 UTC+0000,1082.1055908203,270.5107108086,24.5225038026,True
3377,42025859,2019-06-22 19:12:17.195740 UTC+0000,402.7567749023,77.2135438374,56.6701602974,False
3378,41965143,2019-06-22 09:46:17.740774 UTC+0000,1120.9255371094,298.3052248488,85.816637771,False
3379,41872738,2019-06-21 08:14:56.373632 UTC+0000,645.3813476562,270.4079274006,78.897621088,True
3380,41866523,2019-06-21 03:49:41.946936 UTC+0000,570.9764404297,206.6196450355,5.2336223492,True
3381,41866423,2019-06-21 02:52:52.355269 UTC+0000,1059.4605712891,193.1425725221,55.6393993853,True
3382,41802046,2019-06-19 21:49:52.108866 UTC+0000,375.2593078613,114.8022031164,41.5905547816,True
3383,41788644,2019-06-19 16:46:36.290124 UTC+0000,486.866607666,38.2941103649,36.330353162,False
