event_id,dm,RA,Dec,is_in_DESI,DMhalo,DMISM,DM_Cosm,z
2807,2475.9836425781 pc / cm3,41.034614484,38.9032188015,False,40.0 pc / cm3,76.30367887904431 pc / cm3,2359.679963699056 pc / cm3,2.437664813065414
2808,865.3609619141 pc / cm3,174.670660103,66.3393531478,True,40.0 pc / cm3,35.006018131487835 pc / cm3,790.3549437826122 pc / cm3,0.7551246816182042
2809,287.9144897461 pc / cm3,208.2600839621,13.146562041,True,40.0 pc / cm3,23.186419911305293 pc / cm3,224.72806983479472 pc / cm3,0.14600507981920827
2810,1065.1218261719 pc / cm3,143.5838625381,-2.9112371556,True,40.0 pc / cm3,48.25834522592121 pc / cm3,976.8634809459788 pc / cm3,0.9512326066236662
2811,348.9750061035 pc / cm3,27.4141284839,21.3417809578,True,40.0 pc / cm3,42.416340421498724 pc / cm3,266.5586656820013 pc / cm3,0.19327224493801484
2812,484.0360107422 pc / cm3,283.7932960498,52.9220333588,True,40.0 pc / cm3,65.26417402227733 pc / cm3,378.7718367199227 pc / cm3,0.31719465742658
2813,485.2491149902 pc / cm3,4.9478370828,83.114366026,False,40.0 pc / cm3,69.78233131636141 pc / cm3,375.46678367383856 pc / cm3,0.31359221597904585
2814,458.156036377 pc / cm3,220.6865083811,52.847765575,True,40.0 pc / cm3,31.416555917545967 pc / cm3,386.73948045945406 pc / cm3,0.32586941511698875
2815,616.266418457 pc / cm3,245.7452870163,66.3312016812,True,40.0 pc / cm3,39.15140497186657 pc / cm3,537.1150134851334 pc / cm3,0.487538572733652
2816,27.0930767059 pc / cm3,251.5939596877,82.5535761605,True,40.0 pc / cm3,48.150137322088085 pc / cm3,0,
2817,1395.9000244141 pc / cm3,268.0263636533,72.932351826,True,40.0 pc / cm3,48.07188845924045 pc / cm3,1307.8281359548596 pc / cm3,1.2993809728613892
2818,1101.5155029297 pc / cm3,122.602065473,46.3305167877,True,40.0 pc / cm3,51.04995017980661 pc / cm3,1010.4655527498934 pc / cm3,0.9865887198849427
2819,752.1361694336 pc / cm3,239.4029027294,74.9951618598,True,40.0 pc / cm3,41.451590882495964 pc / cm3,670.6845785511041 pc / cm3,0.6290711162320984
2820,29.1149482727 pc / cm3,181.3540673469,39.6926539006,True,40.0 pc / cm3,20.16609493543524 pc / cm3,0,
2821,1573.8247070312 pc / cm3,210.130560164,23.2979509052,True,40.0 pc / cm3,21.689165229435833 pc / cm3,1512.1355418017642 pc / cm3,1.5151251513687602
