event_id,dm,RA,Dec,DMhalo,DMISM,DM_Cosm,z
99,301.2588195801 pc / cm3,348.7962661396,29.0768164222,40.0 pc / cm3,75.0 pc / cm3,86.25881958010001 pc / cm3,0.10185277884487696
100,69.5523757935 pc / cm3,274.6012321911,27.9035439445,40.0 pc / cm3,75.0 pc / cm3,0,
101,1031.1544189453 pc / cm3,249.9209608946,55.6346287904,40.0 pc / cm3,75.0 pc / cm3,816.1544189453 pc / cm3,0.8873884470182825
102,668.0263061523 pc / cm3,359.8127269164,46.2991745507,40.0 pc / cm3,75.0 pc / cm3,453.0263061523 pc / cm3,0.5044722788957571
103,186.0121612549 pc / cm3,140.2804910701,59.9259909852,40.0 pc / cm3,75.0 pc / cm3,-28.987838745099992 pc / cm3,
104,2176.7465820312 pc / cm3,311.203952423,17.3640546936,40.0 pc / cm3,75.0 pc / cm3,1961.7465820312 pc / cm3,2.1065769408672392
105,531.7521362305 pc / cm3,133.9523296263,62.7237710478,40.0 pc / cm3,75.0 pc / cm3,316.7521362305 pc / cm3,0.35842861707030277
106,350.9968566895 pc / cm3,65.1345573074,48.7973383998,40.0 pc / cm3,75.0 pc / cm3,135.99685668950002 pc / cm3,0.1588088738624732
107,1074.0180664062 pc / cm3,78.4882919402,32.3342103108,40.0 pc / cm3,75.0 pc / cm3,859.0180664062 pc / cm3,0.9324618042898619
108,670.0481567383 pc / cm3,357.0596351546,14.7905273995,40.0 pc / cm3,75.0 pc / cm3,455.0481567383 pc / cm3,0.5066222975251942
109,208.657119751 pc / cm3,133.799882552,69.9738906067,40.0 pc / cm3,75.0 pc / cm3,-6.34288024899999 pc / cm3,
110,382.5380554199 pc / cm3,75.8769953228,85.2586619679,40.0 pc / cm3,75.0 pc / cm3,167.5380554199 pc / cm3,0.1943707452023391
111,318.6469116211 pc / cm3,169.5502039341,69.5986503606,40.0 pc / cm3,75.0 pc / cm3,103.6469116211 pc / cm3,0.12189873777425564
